Device_ID,W,L,length,width,N,nm,hop,SOC,E,energy,Transmission,Average-LDOS,M(E)
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.365,-1.72784810126582,15.2144959908028,0.449804854834013,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.357,-1.71772151898734,15.2018611370839,0.444396065493857,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.35,-1.70886075949367,15.182050709484,0.440680868417125,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.342,-1.69873417721519,15.1563246069561,0.43818781750827,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.335,-1.68987341772152,15.1293293667097,0.438056312168006,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.327,-1.67974683544304,15.0873527795342,0.441603065667895,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.32,-1.67088607594937,15.033639245121,0.450870162309302,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.312,-1.66075949367089,14.9522909605426,0.478080424058298,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.305,-1.65189873417722,15.0778976589398,0.523707570630865,50
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.297,-1.64177215189873,15.8265920248254,0.535502078854679,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.289,-1.63164556962025,15.9709463805243,0.538837131605778,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.282,-1.62278481012658,16.0658269583434,0.541552480408767,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.274,-1.6126582278481,16.1321322355007,0.535946217220998,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.267,-1.60379746835443,16.1404524917037,0.522392726871912,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.259,-1.59367088607595,16.1274543199004,0.506319032959342,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.252,-1.58481012658228,16.1243721552575,0.495223072020666,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.244,-1.5746835443038,16.1391834173483,0.48584509077879,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.237,-1.56582278481013,16.1632152574244,0.480069866806295,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.229,-1.55569620253165,16.1902609400532,0.475824525700616,52
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.222,-1.54683544303797,16.2029015958385,0.474039511001502,52
